#
# clustering coefficient. G(150568, 12246069). Average clustering: 0.9315  OpenTriads: -836026651 (0.6033)  ClosedTriads: -2020504368 (0.3967) (Sun Nov  4 01:03:47 2018)
#
# Node degree	Average clustering coefficient
443	0.638678
444	0.631997
445	0.674097
446	0.608777
447	0.679142
448	0.682579
449	0.988133
450	0.696921
451	0.646674
452	0.976957
453	0.591166
454	0.981303
455	0.695924
456	0.778449
457	0.654871
458	0.959882
459	0.962456
460	0.802201
461	0.688656
462	0.634322
463	0.7327
464	0.614279
465	0.917819
466	0.606891
467	0.783779
468	0.679726
469	0.680003
470	0.748494
471	0.608012
472	0.691292
473	0.663152
474	0.746134
475	0.672548
476	0.731865
477	0.667745
478	0.736282
479	0.684593
480	0.671912
481	0.638125
482	0.631348
483	0.703016
484	0.678236
485	0.804238
486	0.758346
487	0.632136
488	0.663107
489	0.97864
490	0.683288
491	0.701203
492	0.840925
493	0.850713
494	0.798122
495	0.697485
496	0.713717
497	0.719578
498	0.583635
499	0.930448
500	0.581271
501	0.575872
502	0.500699
503	0.623344
504	0.605992
505	0.744046
506	0.924751
507	0.571386
508	0.713399
509	0.777889
510	0.994059
511	0.586616
512	0.565917
513	0.713659
514	0.732107
515	0.630596
516	0.844045
517	0.901142
518	0.675273
519	0.607585
520	0.722726
521	0.697628
522	0.54556
523	0.753156
524	0.802921
525	0.679749
526	0.597383
527	0.723924
528	0.68696
529	0.722072
530	0.701804
531	0.583836
532	0.597744
533	0.819562
534	0.716474
535	0.688184
536	0.725153
537	0.72321
538	0.780847
539	0.545528
540	0.63932
541	0.690371
542	0.623229
543	0.70638
544	0.990012
545	0.813794
546	0.690358
547	0.881443
548	0.663633
549	0.839687
550	0.713008
551	0.704392
552	0.841116
553	0.794476
554	0.594285
555	0.810746
556	0.736367
557	0.991843
558	0.706779
559	0.593836
560	0.658875
561	0.750968
562	0.656625
563	0.793461
564	0.593718
565	0.569045
566	0.992566
567	0.659314
568	0.850356
569	0.69378
570	0.71875
571	0.797118
572	0.678879
573	0.758744
574	0.765132
575	0.624473
576	0.751985
577	0.646556
578	0.638008
579	0.615663
580	0.707809
581	0.993772
582	0.795171
583	0.886969
584	0.664625
585	0.779115
586	0.820807
587	0.666453
588	0.709194
589	0.685165
